Animal_ID,Species,Average_Lifespan (Years),Weight (kg),Height (cm),Diet_Type,Habitat,Conservation_Status,Domesticated,Primary_Region,Nocturnal,Speed (km/h),Intelligence_Level,Endangered_Level (1-5),cluster
ANM_34,Lion,67,3402.0,144.45,Omnivore,Wetland,Critically Endangered,Yes,Australia,No,47.69,High,3,0
ANM_35,Panda,38,858.87,98.35,Carnivore,Grassland,Least Concern,No,Australia,No,59.89,High,5,1
ANM_36,Dog,79,3865.57,31.92,Herbivore,Wetland,Least Concern,Yes,Antarctica,No,20.47,Low,5,0
ANM_37,Lion,32,976.93,203.25,Herbivore,Forest,Extinct,No,Europe,Yes,9.38,High,4,3
ANM_38,Horse,15,158.41,203.81,Herbivore,Forest,Extinct,No,Africa,No,60.14,Low,1,3
ANM_39,Elephant,21,4144.08,326.99,Carnivore,Grassland,Least Concern,Yes,South America,No,22.24,Medium,1,3
ANM_40,Deer,59,2408.24,179.72,Herbivore,Wetland,Vulnerable,No,Europe,No,85.02,Medium,3,1
ANM_41,Giraffe,19,3248.81,293.35,Omnivore,Forest,Endangered,No,Asia,Yes,53.39,High,5,0
ANM_42,Panda,42,573.38,156.8,Omnivore,Ocean,Extinct,No,Europe,Yes,97.09,Low,4,1
ANM_43,Kangaroo,51,1647.58,94.58,Carnivore,Forest,Least Concern,Yes,Africa,No,11.96,Low,1,3
ANM_44,Horse,59,1648.23,192.53,Omnivore,Urban,Endangered,No,Europe,No,77.92,Medium,3,1
ANM_45,Dog,77,732.07,37.86,Omnivore,Grassland,Critically Endangered,Yes,Africa,No,7.08,High,3,1
ANM_46,Cat,66,3550.44,211.39,Carnivore,Ocean,Extinct,Yes,Africa,No,18.51,Medium,5,0
ANM_47,Cat,14,106.3,110.68,Herbivore,Wetland,Extinct,No,Africa,Yes,73.96,Medium,3,1
ANM_48,Panda,60,3925.77,339.35,Omnivore,Forest,Extinct,Yes,Asia,Yes,66.78,High,4,0
ANM_49,Panda,51,4921.1,343.95,Omnivore,Grassland,Endangered,No,South America,No,27.54,High,1,0
ANM_50,Deer,51,3096.85,256.95,Carnivore,Ocean,Extinct,Yes,North America,No,57.65,High,2,0
ANM_51,Lion,33,231.23,123.64,Omnivore,Wetland,Endangered,No,Asia,Yes,47.89,Low,1,3
ANM_52,Cat,40,3375.34,137.24,Herbivore,Grassland,Endangered,No,North America,No,71.48,Low,1,2
ANM_53,Deer,8,390.93,286.43,Herbivore,Ocean,Extinct,Yes,North America,No,44.7,High,3,3
ANM_54,Panda,30,1944.05,162.3,Omnivore,Desert,Extinct,No,Europe,No,21.3,Low,2,3
ANM_55,Horse,71,4568.49,97.52,Omnivore,Grassland,Least Concern,Yes,Europe,Yes,17.42,Low,5,0
ANM_56,Cat,26,33.21,213.77,Herbivore,Wetland,Endangered,No,Africa,No,34.05,Low,2,3
ANM_57,Tiger,31,2824.84,39.03,Omnivore,Desert,Critically Endangered,Yes,Asia,Yes,97.67,Low,1,2
ANM_58,Kangaroo,19,3036.27,354.51,Omnivore,Desert,Extinct,No,North America,Yes,34.8,High,5,3
ANM_59,Lion,7,554.41,333.35,Omnivore,Grassland,Endangered,Yes,North America,No,31.91,Medium,2,3
ANM_60,Horse,10,707.45,81.12,Omnivore,Ocean,Extinct,No,Africa,No,21.4,Low,3,2
ANM_61,Horse,22,546.22,334.86,Herbivore,Forest,Extinct,Yes,Europe,Yes,19.97,High,2,3
ANM_62,Elephant,75,3365.14,295.99,Omnivore,Ocean,Critically Endangered,Yes,Australia,No,41.57,High,3,0
ANM_63,Elephant,34,4191.73,85.65,Omnivore,Desert,Extinct,No,Europe,No,32.79,Medium,1,2
ANM_64,Panda,7,4248.01,328.83,Omnivore,Wetland,Critically Endangered,No,Australia,Yes,12.02,High,2,3
ANM_65,Tiger,74,4072.55,293.54,Herbivore,Desert,Least Concern,Yes,South America,Yes,22.92,Medium,3,0
ANM_66,Deer,7,27.14,303.47,Carnivore,Urban,Endangered,Yes,Asia,Yes,92.9,Low,5,1
ANM_67,Tiger,46,625.35,325.75,Carnivore,Forest,Least Concern,No,Antarctica,Yes,41.0,Medium,1,3
ANM_68,Cat,28,3931.26,134.3,Omnivore,Wetland,Least Concern,No,North America,Yes,88.34,Low,2,2
ANM_69,Elephant,79,1071.13,116.08,Omnivore,Grassland,Least Concern,Yes,North America,Yes,54.35,High,4,1
ANM_70,Tiger,55,3111.61,233.76,Omnivore,Forest,Extinct,Yes,Europe,Yes,26.97,Medium,4,0
ANM_71,Elephant,29,1348.67,105.97,Herbivore,Urban,Critically Endangered,No,Europe,No,52.81,Low,2,2
ANM_72,Giraffe,52,107.38,241.88,Herbivore,Desert,Least Concern,Yes,Asia,No,90.3,High,1,3
ANM_73,Giraffe,24,1695.88,226.04,Omnivore,Urban,Least Concern,Yes,Australia,Yes,82.19,Medium,3,1
ANM_74,Giraffe,68,2368.67,77.54,Omnivore,Desert,Least Concern,No,South America,Yes,90.49,Medium,5,1
ANM_75,Lion,45,341.5,287.84,Carnivore,Wetland,Vulnerable,No,South America,No,53.92,High,5,1
ANM_76,Panda,72,623.67,99.06,Carnivore,Grassland,Extinct,Yes,Asia,No,16.1,High,4,1
ANM_77,Panda,34,2249.74,41.6,Carnivore,Desert,Extinct,Yes,Africa,Yes,70.08,Low,2,2
ANM_78,Kangaroo,8,2827.88,63.83,Herbivore,Ocean,Vulnerable,No,Antarctica,Yes,43.06,High,1,2
ANM_79,Kangaroo,71,3733.3,310.4,Herbivore,Wetland,Least Concern,Yes,South America,Yes,76.62,Low,4,0
ANM_80,Giraffe,63,3601.46,189.89,Herbivore,Forest,Critically Endangered,Yes,South America,No,93.09,Low,1,0
ANM_81,Tiger,40,4949.02,159.43,Omnivore,Ocean,Least Concern,Yes,South America,Yes,8.54,High,2,2
ANM_82,Giraffe,69,1485.72,370.08,Carnivore,Ocean,Critically Endangered,No,Asia,No,84.69,Medium,5,1
ANM_83,Tiger,10,499.71,360.22,Herbivore,Forest,Extinct,No,Africa,No,46.55,High,4,3
ANM_84,Lion,65,1331.34,57.22,Carnivore,Urban,Endangered,No,Australia,No,17.36,Medium,5,1
ANM_85,Lion,50,367.15,65.03,Herbivore,Wetland,Least Concern,No,Asia,Yes,32.69,Medium,2,1
ANM_86,Cat,32,2915.76,67.73,Herbivore,Ocean,Critically Endangered,No,Europe,No,36.9,Medium,2,2
ANM_87,Lion,9,4858.86,349.28,Omnivore,Wetland,Endangered,Yes,North America,Yes,24.71,Medium,4,0
ANM_88,Panda,50,3246.41,206.42,Omnivore,Desert,Extinct,Yes,Asia,No,18.34,High,5,0
ANM_89,Giraffe,57,287.09,113.03,Carnivore,Desert,Least Concern,No,North America,Yes,60.27,Low,4,1
ANM_90,Kangaroo,72,3780.37,56.54,Herbivore,Grassland,Least Concern,Yes,Antarctica,No,28.53,Low,2,0
ANM_91,Elephant,28,4066.13,126.96,Carnivore,Wetland,Critically Endangered,Yes,Asia,Yes,17.69,Medium,1,2
ANM_92,Dog,6,1138.86,256.92,Herbivore,Forest,Endangered,No,North America,No,78.04,Medium,2,3
ANM_93,Cat,66,1143.73,293.77,Carnivore,Ocean,Vulnerable,No,Antarctica,Yes,42.82,Low,4,1
ANM_94,Horse,55,4011.43,100.44,Carnivore,Grassland,Least Concern,No,Australia,No,48.28,High,4,0
ANM_95,Horse,44,3245.01,247.03,Herbivore,Ocean,Extinct,Yes,Australia,No,75.04,Medium,3,0
ANM_96,Kangaroo,25,3729.91,27.66,Herbivore,Forest,Critically Endangered,Yes,North America,Yes,31.05,Low,5,2
ANM_97,Giraffe,31,1819.88,205.53,Carnivore,Wetland,Least Concern,No,South America,No,65.46,Low,1,3
ANM_98,Kangaroo,31,1831.37,321.51,Carnivore,Forest,Endangered,No,Asia,Yes,17.38,Medium,2,3
ANM_99,Panda,45,2309.5,308.94,Carnivore,Ocean,Endangered,Yes,North America,Yes,17.58,High,4,3
ANM_100,Elephant,41,4058.95,134.59,Herbivore,Urban,Critically Endangered,Yes,Africa,Yes,67.42,Medium,5,0
ANM_101,Giraffe,59,1576.5,386.34,Carnivore,Ocean,Vulnerable,No,Europe,Yes,88.62,Medium,1,3
ANM_102,Panda,56,4334.07,102.55,Omnivore,Desert,Critically Endangered,Yes,Australia,No,21.76,Low,3,0
ANM_103,Lion,36,368.16,256.22,Carnivore,Ocean,Extinct,Yes,South America,Yes,13.27,Medium,5,1
ANM_104,Deer,51,175.74,219.11,Omnivore,Forest,Extinct,No,Antarctica,Yes,82.92,Low,4,1
ANM_105,Lion,54,2692.93,383.98,Omnivore,Ocean,Endangered,No,Australia,Yes,44.91,Low,3,0
ANM_106,Giraffe,32,1142.92,398.08,Omnivore,Desert,Least Concern,Yes,Antarctica,Yes,6.06,High,1,3
ANM_107,Dog,30,4491.44,223.54,Herbivore,Desert,Critically Endangered,Yes,Australia,No,66.41,High,1,2
ANM_108,Panda,30,4033.49,23.13,Omnivore,Wetland,Least Concern,No,North America,No,6.29,High,3,2
ANM_109,Deer,36,496.34,376.08,Herbivore,Desert,Extinct,Yes,North America,Yes,24.85,Low,3,3
ANM_110,Deer,73,1423.53,187.1,Omnivore,Grassland,Endangered,No,Europe,No,51.14,Medium,5,1
ANM_111,Tiger,52,3429.11,323.8,Herbivore,Desert,Vulnerable,No,Europe,Yes,99.65,High,1,0
ANM_112,Tiger,37,4808.62,130.22,Herbivore,Forest,Extinct,No,Africa,Yes,82.83,Medium,5,0
ANM_113,Panda,78,4608.2,181.87,Omnivore,Urban,Endangered,Yes,Antarctica,No,33.74,Low,2,0
ANM_114,Cat,77,1373.1,370.88,Omnivore,Urban,Endangered,Yes,Asia,No,29.65,High,5,1
ANM_115,Cat,68,2660.95,208.52,Herbivore,Forest,Critically Endangered,Yes,Europe,Yes,78.71,Low,4,1
ANM_116,Kangaroo,21,3392.99,335.82,Herbivore,Grassland,Least Concern,No,Europe,No,39.7,Low,1,3
ANM_117,Panda,48,255.51,67.98,Omnivore,Ocean,Vulnerable,Yes,Antarctica,Yes,68.45,Low,4,1
ANM_118,Deer,34,48.12,306.34,Carnivore,Ocean,Extinct,No,South America,No,16.24,Low,2,3
ANM_119,Panda,78,4123.53,30.52,Omnivore,Urban,Least Concern,No,South America,Yes,47.9,Low,5,0
ANM_120,Elephant,42,936.44,175.94,Carnivore,Urban,Vulnerable,Yes,Asia,Yes,98.33,High,4,1
ANM_121,Elephant,7,2367.55,165.79,Carnivore,Urban,Endangered,Yes,Asia,No,83.82,Low,5,1
ANM_122,Lion,57,3932.83,148.23,Omnivore,Desert,Vulnerable,Yes,Antarctica,Yes,66.17,Medium,3,0
ANM_123,Tiger,27,4294.15,362.57,Herbivore,Desert,Vulnerable,Yes,Australia,No,32.6,Medium,5,0
ANM_124,Tiger,67,2850.5,34.59,Herbivore,Grassland,Endangered,Yes,Antarctica,No,73.98,Medium,5,1
ANM_125,Panda,15,3337.5,309.39,Carnivore,Forest,Critically Endangered,No,Antarctica,No,17.68,Medium,4,3
ANM_126,Kangaroo,7,1049.42,149.52,Carnivore,Urban,Critically Endangered,No,Asia,Yes,35.49,Low,4,2
ANM_127,Cat,46,638.61,103.54,Omnivore,Ocean,Endangered,Yes,Europe,Yes,51.86,Medium,2,1
ANM_128,Kangaroo,33,1388.54,337.18,Herbivore,Desert,Least Concern,Yes,South America,No,54.43,Medium,4,3
ANM_129,Kangaroo,61,2112.89,74.26,Carnivore,Grassland,Endangered,Yes,Europe,No,64.82,Medium,2,1
ANM_130,Giraffe,45,2848.39,318.8,Omnivore,Wetland,Extinct,No,Antarctica,No,19.12,Low,4,0
ANM_131,Horse,61,3672.11,34.34,Herbivore,Desert,Critically Endangered,Yes,South America,Yes,69.43,Medium,1,2
ANM_132,Kangaroo,26,441.27,142.77,Omnivore,Desert,Critically Endangered,No,Antarctica,Yes,15.47,High,5,1
ANM_133,Horse,14,3687.17,376.49,Herbivore,Desert,Endangered,Yes,South America,No,28.61,High,2,3
ANM_134,Kangaroo,49,3116.03,365.9,Herbivore,Wetland,Endangered,Yes,Australia,Yes,54.22,High,4,0
ANM_135,Tiger,38,1673.92,251.8,Carnivore,Ocean,Least Concern,No,North America,Yes,64.15,Low,4,1
ANM_136,Tiger,40,4526.51,362.05,Carnivore,Desert,Critically Endangered,Yes,Australia,No,66.13,Low,4,0
ANM_137,Deer,14,2188.41,303.35,Herbivore,Wetland,Least Concern,Yes,Antarctica,Yes,85.49,Medium,3,3
ANM_138,Horse,73,495.63,371.26,Carnivore,Desert,Extinct,No,Europe,Yes,64.95,Low,2,3
ANM_139,Lion,36,2971.02,164.79,Omnivore,Wetland,Extinct,Yes,Africa,Yes,76.31,High,1,2
ANM_140,Giraffe,51,4699.52,198.1,Herbivore,Wetland,Vulnerable,Yes,Antarctica,Yes,80.9,High,3,0
ANM_141,Kangaroo,10,4792.89,27.64,Carnivore,Urban,Least Concern,Yes,Antarctica,No,91.53,High,3,2
ANM_142,Giraffe,15,4707.0,265.75,Herbivore,Ocean,Critically Endangered,Yes,Asia,No,71.72,High,1,2
ANM_143,Kangaroo,60,1226.29,358.68,Herbivore,Desert,Vulnerable,Yes,Africa,Yes,39.8,Medium,1,3
ANM_144,Horse,53,4621.44,271.7,Carnivore,Grassland,Endangered,Yes,Antarctica,Yes,91.81,Medium,2,0
ANM_145,Horse,45,1251.03,397.54,Carnivore,Urban,Critically Endangered,Yes,Asia,No,59.15,Medium,1,3
ANM_146,Lion,74,3177.92,309.87,Omnivore,Urban,Critically Endangered,Yes,Africa,No,99.4,Medium,4,0
ANM_147,Giraffe,38,4667.41,390.5,Carnivore,Desert,Extinct,No,Europe,No,34.19,Medium,1,0
ANM_148,Dog,50,3742.45,366.43,Carnivore,Desert,Extinct,No,Antarctica,No,79.1,High,1,0
ANM_149,Deer,57,1284.17,269.14,Carnivore,Wetland,Endangered,Yes,Antarctica,Yes,48.31,Medium,3,3
ANM_150,Elephant,22,1531.86,68.79,Omnivore,Ocean,Critically Endangered,No,Australia,No,85.44,Low,2,2
ANM_151,Elephant,43,3057.46,251.97,Carnivore,Desert,Least Concern,No,Asia,No,74.25,High,1,0
ANM_152,Elephant,68,1412.92,321.84,Omnivore,Desert,Least Concern,Yes,Australia,No,8.54,High,5,1
ANM_153,Elephant,5,880.74,36.25,Omnivore,Urban,Critically Endangered,Yes,Asia,Yes,69.57,Medium,4,2
ANM_154,Giraffe,13,515.17,308.85,Herbivore,Desert,Endangered,No,Europe,No,64.2,Medium,5,1
ANM_155,Cat,29,4893.1,61.16,Carnivore,Forest,Least Concern,No,Asia,Yes,67.25,High,4,2
ANM_156,Cat,45,950.15,337.42,Omnivore,Wetland,Endangered,Yes,Antarctica,No,32.94,Low,3,3
ANM_157,Kangaroo,27,1096.77,379.36,Herbivore,Desert,Vulnerable,No,North America,Yes,60.87,Low,2,3
ANM_158,Cat,64,4487.34,399.01,Omnivore,Forest,Endangered,No,South America,No,72.89,High,1,0
ANM_159,Deer,78,1751.8,53.67,Carnivore,Ocean,Endangered,Yes,South America,Yes,92.77,Low,1,1
ANM_160,Lion,54,4854.46,179.53,Herbivore,Grassland,Endangered,Yes,Asia,No,67.19,Medium,3,0
ANM_161,Lion,25,2555.45,167.06,Carnivore,Desert,Least Concern,Yes,Antarctica,Yes,23.66,High,1,2
ANM_162,Kangaroo,79,2149.7,40.19,Herbivore,Forest,Endangered,Yes,Asia,No,73.17,Low,4,1
ANM_163,Lion,78,1906.8,330.81,Carnivore,Grassland,Least Concern,No,Europe,No,8.48,Medium,1,3
ANM_164,Tiger,44,2628.38,359.23,Omnivore,Grassland,Extinct,No,Australia,No,97.7,Low,2,0
ANM_165,Deer,32,953.55,170.07,Herbivore,Forest,Endangered,No,Africa,No,83.07,Medium,5,1
ANM_166,Lion,25,3784.01,358.91,Herbivore,Desert,Critically Endangered,No,Europe,Yes,92.56,Low,5,0
ANM_167,Elephant,55,2566.79,329.73,Herbivore,Wetland,Vulnerable,Yes,Australia,No,76.02,High,2,0
ANM_168,Panda,36,3742.67,140.99,Herbivore,Forest,Vulnerable,No,Australia,No,36.4,Low,5,2
ANM_169,Lion,68,2204.61,99.93,Herbivore,Urban,Critically Endangered,Yes,North America,Yes,39.71,Medium,3,1
ANM_170,Deer,70,511.69,93.03,Carnivore,Forest,Least Concern,Yes,Australia,No,69.95,Medium,4,1
ANM_171,Giraffe,55,2999.2,71.95,Herbivore,Desert,Endangered,No,Asia,Yes,9.37,Low,3,2
ANM_172,Horse,44,4470.98,263.33,Herbivore,Urban,Extinct,Yes,Africa,No,51.01,High,2,0
ANM_173,Horse,40,3323.8,373.48,Herbivore,Wetland,Endangered,No,Antarctica,Yes,79.4,Medium,5,0
ANM_174,Lion,52,4302.11,189.75,Omnivore,Forest,Vulnerable,Yes,Asia,Yes,9.56,High,2,0
ANM_175,Kangaroo,7,1090.29,329.32,Carnivore,Forest,Least Concern,No,Asia,Yes,36.44,High,4,3
ANM_176,Cat,12,2383.97,173.9,Herbivore,Desert,Critically Endangered,Yes,Europe,Yes,17.68,Medium,1,2
ANM_177,Dog,44,4963.12,30.0,Carnivore,Urban,Critically Endangered,Yes,Asia,No,72.39,Low,3,2
ANM_178,Lion,54,4004.84,299.4,Omnivore,Wetland,Least Concern,No,Asia,Yes,29.96,Medium,5,0
ANM_179,Horse,26,718.69,337.05,Carnivore,Wetland,Least Concern,Yes,Europe,No,29.17,Low,1,3
ANM_180,Giraffe,76,1416.45,101.93,Herbivore,Wetland,Least Concern,Yes,North America,Yes,25.7,High,5,1
ANM_181,Giraffe,44,2368.02,179.03,Carnivore,Grassland,Extinct,Yes,Antarctica,Yes,16.44,High,3,3
ANM_182,Deer,73,4110.78,327.15,Carnivore,Urban,Critically Endangered,Yes,Asia,No,55.79,Low,2,0
ANM_183,Lion,76,2437.2,245.07,Omnivore,Forest,Critically Endangered,No,South America,Yes,66.85,Medium,4,0
ANM_184,Panda,28,2348.27,37.81,Carnivore,Desert,Critically Endangered,Yes,Africa,No,92.47,Medium,3,2
ANM_185,Tiger,67,2874.06,209.09,Omnivore,Wetland,Endangered,No,South America,No,22.31,High,5,0
ANM_186,Panda,79,1232.73,166.09,Herbivore,Wetland,Extinct,No,South America,Yes,78.54,Low,5,1
ANM_187,Cat,8,3219.43,380.72,Carnivore,Desert,Least Concern,No,Africa,Yes,28.44,High,5,3
ANM_188,Horse,60,891.58,185.4,Omnivore,Grassland,Endangered,No,Antarctica,No,75.97,Low,4,1
ANM_189,Tiger,26,2219.55,20.84,Carnivore,Wetland,Least Concern,No,Europe,No,6.11,Low,1,2
ANM_190,Giraffe,21,2892.47,120.92,Carnivore,Forest,Critically Endangered,Yes,South America,No,57.97,Low,3,2
ANM_191,Panda,73,4040.23,244.0,Omnivore,Wetland,Vulnerable,No,Antarctica,Yes,90.11,Medium,3,0
ANM_192,Lion,24,4950.41,43.91,Omnivore,Grassland,Critically Endangered,No,North America,No,46.97,Low,2,2
ANM_193,Deer,74,4910.43,163.65,Herbivore,Forest,Extinct,Yes,South America,Yes,7.73,Medium,1,0
ANM_194,Horse,45,1534.03,212.63,Herbivore,Grassland,Critically Endangered,No,South America,Yes,40.69,Medium,1,3
ANM_195,Elephant,78,4583.0,32.22,Carnivore,Grassland,Extinct,No,Antarctica,Yes,96.07,High,4,0
ANM_196,Elephant,11,4549.98,258.64,Carnivore,Forest,Vulnerable,Yes,Africa,Yes,85.24,High,2,2
ANM_197,Kangaroo,40,1367.62,107.94,Herbivore,Desert,Least Concern,No,Europe,Yes,43.08,Low,3,1
ANM_198,Elephant,23,4196.31,203.5,Omnivore,Desert,Endangered,No,Antarctica,No,55.12,Medium,5,2
ANM_199,Elephant,72,50.38,233.67,Herbivore,Forest,Critically Endangered,No,Australia,No,74.62,Low,5,1
ANM_200,Lion,45,223.46,201.46,Herbivore,Ocean,Least Concern,No,Europe,Yes,56.43,Medium,5,1
ANM_201,Panda,26,4993.12,38.0,Carnivore,Desert,Extinct,Yes,Africa,No,11.04,Low,1,2
ANM_202,Cat,52,1867.41,152.65,Carnivore,Wetland,Vulnerable,Yes,Australia,No,46.98,High,2,3
ANM_203,Giraffe,25,3329.34,87.7,Omnivore,Forest,Endangered,Yes,Africa,Yes,11.71,Low,1,2
ANM_204,Lion,34,2136.19,168.92,Herbivore,Ocean,Critically Endangered,No,Europe,Yes,81.8,Medium,5,1
ANM_205,Giraffe,50,3776.81,212.51,Carnivore,Grassland,Least Concern,Yes,Africa,No,65.52,Low,3,0
ANM_206,Cat,68,160.67,353.88,Herbivore,Grassland,Extinct,Yes,Australia,No,85.99,High,5,1
ANM_207,Tiger,39,1928.32,146.3,Herbivore,Forest,Least Concern,No,South America,Yes,16.96,Medium,2,3
ANM_208,Cat,18,345.47,146.02,Herbivore,Desert,Vulnerable,No,North America,No,15.53,Medium,3,3
ANM_209,Deer,69,4512.47,308.84,Carnivore,Wetland,Critically Endangered,No,Africa,No,94.65,Low,4,0
ANM_210,Dog,77,1598.39,168.33,Carnivore,Urban,Vulnerable,No,South America,Yes,23.04,High,3,1
ANM_211,Horse,53,3486.14,357.83,Carnivore,Wetland,Endangered,Yes,Europe,Yes,10.59,Low,5,0
ANM_212,Deer,28,4791.85,362.83,Herbivore,Desert,Critically Endangered,Yes,Africa,Yes,7.43,Low,2,0
ANM_213,Lion,61,3383.14,237.51,Carnivore,Wetland,Endangered,No,Asia,Yes,53.06,Low,5,0
ANM_214,Tiger,27,1923.98,373.79,Herbivore,Forest,Vulnerable,No,Australia,Yes,24.28,High,5,3
ANM_215,Kangaroo,61,1425.71,250.06,Herbivore,Desert,Vulnerable,Yes,South America,No,31.81,Medium,4,1
ANM_216,Horse,50,2158.04,330.94,Carnivore,Desert,Vulnerable,No,Europe,Yes,59.36,High,5,1
ANM_217,Tiger,41,526.61,302.72,Omnivore,Wetland,Critically Endangered,No,South America,Yes,77.51,Low,4,1
ANM_218,Dog,29,2530.31,58.85,Herbivore,Forest,Least Concern,Yes,Europe,No,64.18,High,2,2
ANM_219,Tiger,68,3979.16,170.03,Herbivore,Desert,Extinct,No,Antarctica,Yes,11.04,High,5,0
ANM_220,Horse,78,1722.7,297.82,Carnivore,Desert,Endangered,Yes,North America,Yes,68.18,Medium,4,1
ANM_221,Kangaroo,73,4891.83,293.95,Omnivore,Grassland,Least Concern,Yes,South America,No,98.48,Low,1,0
ANM_222,Elephant,63,3722.65,115.94,Carnivore,Forest,Critically Endangered,No,Africa,No,11.74,Medium,4,0
ANM_223,Horse,75,3634.41,328.72,Herbivore,Forest,Vulnerable,No,North America,No,61.16,Low,5,0
ANM_224,Giraffe,54,1599.02,87.64,Herbivore,Forest,Least Concern,Yes,North America,No,86.1,High,1,2
ANM_225,Dog,44,3987.39,210.38,Omnivore,Wetland,Critically Endangered,No,Europe,Yes,58.38,Medium,3,0
ANM_226,Cat,5,4807.68,194.15,Herbivore,Forest,Least Concern,No,Asia,No,8.31,High,4,2
ANM_227,Lion,57,4893.57,359.06,Omnivore,Desert,Vulnerable,Yes,South America,Yes,38.03,High,1,0
ANM_228,Deer,67,3626.25,44.24,Carnivore,Ocean,Vulnerable,Yes,Africa,No,62.05,Medium,4,0
ANM_229,Giraffe,67,2895.78,301.84,Carnivore,Desert,Extinct,Yes,Asia,No,18.17,High,5,0
ANM_230,Dog,65,2734.3,80.38,Herbivore,Urban,Least Concern,Yes,South America,Yes,43.88,Low,2,2
ANM_231,Cat,16,860.37,250.84,Herbivore,Ocean,Vulnerable,No,South America,No,50.72,Low,2,3
ANM_232,Deer,50,4361.68,327.95,Herbivore,Wetland,Vulnerable,No,South America,Yes,76.98,High,1,0
